saved_frame_id,original_frame_index,time_sec,frame_file,crop_file,panel_mask_file,hotspot_mask_file,hotspot_overlay_file,x1,y1,x2,y2,panel_coverage,max_vertical_gap_ratio,junction_detected,smooth_non_grid_object_detected,largest_smooth_component_ratio,largest_smooth_edge_density,non_pv_hot_object_detected,largest_hot_component_ratio,largest_hot_component_edge_density,laplacian_sharpness,sobel_sharpness,mean_intensity,median_intensity,max_intensity,min_intensity,std_intensity,dynamic_range,p90_intensity,p95_intensity,p99_intensity,contrast_p95,contrast_max,hot_area_percentage,hotspot_threshold_intensity,hotspot_grid,hotspot_pixel_count,sharp_enough,panel_coverage_ok,junction_ok,non_pv_hot_object_ok,smooth_non_grid_object_ok,usable_frame,contrast_detected
0,0,0.0,frame_0000_t_0.0s.jpg,crop_0000_t_0.0s.jpg,mask_0000_t_0.0s.jpg,hotspot_mask_0000_t_0.0s.jpg,hotspot_overlay_0000_t_0.0s.jpg,0,690,2048,1800,0.5353088928772523,0.04638671875,False,False,0.0,0.0,False,0.003539379222972973,0.27616206810837685,3712.8791723849185,168.8382734801399,98.34488,89.0,255.0,26.0,32.42982,229.0,145.0,163.0,194.0,74.0,166.0,0.05046646950013436,178.0,R1C2,21364,True,False,True,True,True,False,False
1,59,1.9686333333333335,frame_0001_t_2.0s.jpg,crop_0001_t_2.0s.jpg,mask_0001_t_2.0s.jpg,hotspot_mask_0001_t_2.0s.jpg,hotspot_overlay_0001_t_2.0s.jpg,0,690,2048,1800,0.574145287865991,0.03173828125,False,False,0.0,0.0,False,0.004133234797297297,0.30225627926777354,3159.3459852008796,163.5468709775448,99.97681,91.0,255.0,28.0,32.477802,227.0,147.0,163.0,194.0,72.0,164.0,0.0504162985857264,178.0,R1C2,21033,True,True,True,True,True,True,False
2,118,3.937266666666667,frame_0002_t_3.9s.jpg,crop_0002_t_3.9s.jpg,mask_0002_t_3.9s.jpg,hotspot_mask_0002_t_3.9s.jpg,hotspot_overlay_0002_t_3.9s.jpg,0,690,2048,1800,0.6820989935247748,0.0,False,False,0.0,0.0,False,0.003688942849099099,0.2407584068685905,3173.486909426134,162.12467712024858,94.71646,84.0,255.0,32.0,32.05787,223.0,143.0,163.0,199.0,79.0,171.0,0.05042428682537492,185.0,R1C2,20021,True,True,True,True,True,True,True
3,177,5.9059,frame_0003_t_5.9s.jpg,crop_0003_t_5.9s.jpg,mask_0003_t_5.9s.jpg,hotspot_mask_0003_t_5.9s.jpg,hotspot_overlay_0003_t_5.9s.jpg,0,690,2048,1800,0.6562416420326577,0.00732421875,False,False,0.0,0.0,False,0.003465917088963964,0.23048610229724584,3247.982866285046,168.30797668717287,97.95439,89.0,255.0,26.0,30.553673,229.0,144.0,167.0,200.0,78.0,166.0,0.05021849136055867,192.0,R1C2,17892,True,True,True,True,True,True,True
4,236,7.874533333333334,frame_0004_t_7.9s.jpg,crop_0004_t_7.9s.jpg,mask_0004_t_7.9s.jpg,hotspot_mask_0004_t_7.9s.jpg,hotspot_overlay_0004_t_7.9s.jpg,0,690,2048,1800,0.5100647522522522,0.2568359375,True,True,0.0858204884572072,0.015700124042769128,False,0.0038191511824324322,0.23692697535130156,2547.151874892348,140.70968962630317,97.6201,88.0,255.0,25.0,31.221453,230.0,146.0,169.0,205.0,81.0,167.0,0.05012332689388713,194.0,R1C1,18282,False,False,False,True,False,False,True
5,295,9.843166666666667,frame_0005_t_9.8s.jpg,crop_0005_t_9.8s.jpg,mask_0005_t_9.8s.jpg,hotspot_mask_0005_t_9.8s.jpg,hotspot_overlay_0005_t_9.8s.jpg,0,690,2048,1800,0.5114416173986487,0.255859375,True,True,0.16958183769707208,0.01564952127976924,False,0.003883375563063063,0.27050294517444495,2615.2934687921365,140.61917582977324,95.442665,86.0,255.0,30.0,31.339924,225.0,143.0,167.0,203.0,81.0,169.0,0.05036081365845267,192.0,R1C1,18324,False,False,False,True,False,False,True
6,354,11.8118,frame_0006_t_11.8s.jpg,crop_0006_t_11.8s.jpg,mask_0006_t_11.8s.jpg,hotspot_mask_0006_t_11.8s.jpg,hotspot_overlay_0006_t_11.8s.jpg,0,690,2048,1800,0.49224468609234234,0.2529296875,True,True,0.17944775830518017,0.014137056148651133,False,0.003903170748873874,0.2708215935985574,2650.4478242801833,139.7169403667736,98.25749,89.0,255.0,28.0,30.538656,227.0,144.0,167.0,200.0,78.0,166.0,0.05032037247209587,186.0,R1C1,18505,False,False,False,True,False,False,True
7,413,13.780433333333333,frame_0007_t_13.8s.jpg,crop_0007_t_13.8s.jpg,mask_0007_t_13.8s.jpg,hotspot_mask_0007_t_13.8s.jpg,hotspot_overlay_0007_t_13.8s.jpg,0,690,2048,1800,0.47066485430743243,0.23681640625,True,True,0.17640061936936938,0.01293739775765072,False,0.0037993559966216215,0.2621280537223573,2602.4625972171925,138.7744543820572,101.676186,93.0,255.0,32.0,29.641356,223.0,147.0,169.0,201.0,76.0,162.0,0.050203139764083096,189.0,R1C2,17108,False,False,False,True,False,False,False
8,472,15.749066666666668,frame_0008_t_15.7s.jpg,crop_0008_t_15.7s.jpg,mask_0008_t_15.7s.jpg,hotspot_mask_0008_t_15.7s.jpg,hotspot_overlay_0008_t_15.7s.jpg,0,690,2048,1800,0.6629680461711712,0.01171875,False,False,0.0,0.0,False,0.004143352336711712,0.27019853487631385,3007.9459908023523,161.50291906782795,97.15873,88.0,254.0,30.0,30.167843,224.0,142.0,165.0,198.0,77.0,166.0,0.05000491005313474,186.0,R1C1,18790,False,True,True,True,True,False,True
9,531,17.7177,frame_0009_t_17.7s.jpg,crop_0009_t_17.7s.jpg,mask_0009_t_17.7s.jpg,hotspot_mask_0009_t_17.7s.jpg,hotspot_overlay_0009_t_17.7s.jpg,0,690,2048,1800,0.6905291033220721,0.01171875,False,False,0.0,0.0,False,0.004731049408783784,0.2899116689911669,3010.412174973767,161.46900639409822,95.768005,88.0,255.0,34.0,29.816994,221.0,139.0,162.0,198.0,74.0,167.0,0.05054001679231172,179.0,R1C1,19369,False,True,True,True,True,False,False
